Month,Male,Female,Total
31/01/1985,152.1612903,11.32258065,163.483871
28/02/1985,399,23.89285714,422.8928571
31/03/1985,599.7096774,36.16129032,635.8709677
30/04/1985,686.7333333,44.53333333,731.2666667
31/05/1985,719.2903226,49.4516129,768.7419355
30/06/1985,762.9666667,44.5,807.4666667
31/07/1985,800.7096774,48.38709677,849.0967742
31/08/1985,851.3548387,50.12903226,901.483871
30/09/1985,903.4666667,50.9,954.3666667
31/10/1985,940.4516129,56.19354839,996.6451613
30/11/1985,970.3333333,60.8,1031.133333
31/12/1985,1005.677419,65.16129032,1070.83871
31/01/1986,1049.354839,59.87096774,1109.225806
28/02/1986,1103.535714,69.03571429,1172.571429
31/03/1986,1182.16129,72.83870968,1255
30/04/1986,1205.5,78.46666667,1283.966667
31/05/1986,1282.064516,78.77419355,1360.83871
30/06/1986,1248.533333,80.73333333,1329.266667
31/07/1986,1238.225806,85.16129032,1323.387097
31/08/1986,1234.290323,77.48387097,1311.774194
30/09/1986,1244.7,80.5,1325.2
31/10/1986,1228.774194,79.77419355,1308.548387
30/11/1986,1278.833333,78.8,1357.633333
31/12/1986,1321.483871,79.61290323,1401.096774
31/01/1987,1308.709677,77,1385.709677
28/02/1987,1376.607143,83.53571429,1460.142857
31/03/1987,1420.83871,78.80645161,1499.645161
30/04/1987,1415.166667,76.16666667,1491.333333
31/05/1987,1359.516129,79.29032258,1438.806452
30/06/1987,1381.833333,78.5,1460.333333
31/07/1987,1408.967742,74.67741935,1483.645161
31/08/1987,1449.354839,80.74193548,1530.096774
30/09/1987,1487.066667,81.26666667,1568.333333
31/10/1987,1522.032258,81.93548387,1603.967742
30/11/1987,1499.966667,88.6,1588.566667
31/12/1987,1439.419355,88.64516129,1528.064516
31/01/1988,1388.225806,87.64516129,1475.870968
29/02/1988,1407.172414,81,1488.172414
31/03/1988,1426.580645,82.96774194,1509.548387
30/04/1988,1403,77.83333333,1480.833333
31/05/1988,1409.387097,85.12903226,1494.516129
30/06/1988,1428.8,100.5333333,1529.333333
31/07/1988,1433.774194,103.1290323,1536.903226
31/08/1988,1415.935484,101.2580645,1517.193548
30/09/1988,1421.933333,96.63333333,1518.566667
31/10/1988,1417.258065,100.3225806,1517.580645
30/11/1988,1412.833333,96.4,1509.233333
31/12/1988,1369.258065,89.19354839,1458.451613
31/01/1989,1351.516129,82.16129032,1433.677419
28/02/1989,1383.964286,82.07142857,1466.035714
31/03/1989,1373.935484,84.22580645,1458.16129
30/04/1989,1336.766667,88.56666667,1425.333333
31/05/1989,1320.903226,83.64516129,1404.548387
30/06/1989,1383.9,82.13333333,1466.033333
31/07/1989,1397.935484,85.77419355,1483.709677
31/08/1989,1416.83871,80.16129032,1497
30/09/1989,1437.333333,82.13333333,1519.466667
31/10/1989,1438.258065,80.67741935,1518.935484
30/11/1989,1461.9,87.63333333,1549.533333
31/12/1989,1457.322581,86.77419355,1544.096774
31/01/1990,1490.741935,89.03225806,1579.774194
28/02/1990,1500.321429,87.21428571,1587.535714
31/03/1990,1493.354839,99.87096774,1593.225806
30/04/1990,1500.433333,99.13333333,1599.566667
31/05/1990,1535,105.2903226,1640.290323
30/06/1990,1584.233333,99.4,1683.633333
31/07/1990,1571.387097,98.09677419,1669.483871
31/08/1990,1583.483871,104,1687.483871
30/09/1990,1614.366667,103.5,1717.866667
31/10/1990,1589.645161,99.25806452,1688.903226
30/11/1990,1595.5,101.3666667,1696.866667
31/12/1990,1577.935484,94,1671.935484
31/01/1991,1688.612903,92,1780.612903
28/02/1991,1799.071429,99.17857143,1898.25
31/03/1991,1796.516129,95.80645161,1892.322581
30/04/1991,1769.366667,95.1,1864.466667
31/05/1991,1782.387097,89.67741935,1872.064516
30/06/1991,1712.633333,83.63333333,1796.266667
31/07/1991,1676.419355,76.96774194,1753.387097
31/08/1991,1663.419355,66.90322581,1730.322581
30/09/1991,1680.5,72.8,1753.3
31/10/1991,1727.096774,86.4516129,1813.548387
30/11/1991,1760.7,96.6,1857.3
31/12/1991,1727.290323,84.80645161,1812.096774
31/01/1992,1744.903226,87,1831.903226
29/02/1992,1800.724138,94.37931034,1895.103448
31/03/1992,1787.483871,92.58064516,1880.064516
30/04/1992,1790.5,86.53333333,1877.033333
31/05/1992,1812.322581,91.38709677,1903.709677
30/06/1992,1826.866667,92.96666667,1919.833333
31/07/1992,1812.870968,100.4193548,1913.290323
31/08/1992,1819.419355,102.483871,1921.903226
30/09/1992,1769.2,104.4333333,1873.633333
31/10/1992,1701.258065,99.87096774,1801.129032
30/11/1992,1677.233333,96.8,1774.033333
31/12/1992,1656.580645,87.5483871,1744.129032
31/01/1993,1688.16129,83.93548387,1772.096774
28/02/1993,1735.535714,89.92857143,1825.464286
31/03/1993,1772.032258,94.32258065,1866.354839
30/04/1993,1785.8,93.4,1879.2
31/05/1993,1790.580645,102.0967742,1892.677419
30/06/1993,1863.633333,113.5,1977.133333
31/07/1993,1889.387097,124.5483871,2013.935484
31/08/1993,1925.032258,121.8064516,2046.83871
30/09/1993,1948.333333,117.2333333,2065.566667
31/10/1993,1975.193548,115.5483871,2090.741935
30/11/1993,2002.833333,105.0333333,2107.866667
31/12/1993,1965.193548,95.29032258,2060.483871
31/01/1994,1950,96.83870968,2046.83871
28/02/1994,1985.928571,102.8214286,2088.75
31/03/1994,2024.612903,101.6451613,2126.258065
30/04/1994,2015.033333,102.7666667,2117.8
31/05/1994,2015.032258,109.4516129,2124.483871
30/06/1994,2024.833333,102.8666667,2127.7
31/07/1994,2008.483871,99.16129032,2107.645161
31/08/1994,1983.645161,90.29032258,2073.935484
30/09/1994,2001.233333,85.33333333,2086.566667
31/10/1994,2029.580645,83.77419355,2113.354839
30/11/1994,2029.933333,96.4,2126.333333
31/12/1994,1979.677419,85.51612903,2065.193548
31/01/1995,1940.258065,88.4516129,2028.709677
28/02/1995,1974.214286,90.75,2064.964286
31/03/1995,2047.193548,101.5806452,2148.774194
30/04/1995,2088.5,110.3,2198.8
31/05/1995,2079.354839,115.2258065,2194.580645
30/06/1995,2083.4,118.7666667,2202.166667
31/07/1995,2073.354839,116.3548387,2189.709677
31/08/1995,2085.354839,112.6451613,2198
30/09/1995,2127.666667,118.8666667,2246.533333
31/10/1995,2156.677419,122.1935484,2278.870968
30/11/1995,2151.066667,112.3666667,2263.433333
31/12/1995,2130.580645,112.3870968,2242.967742
31/01/1996,2117.580645,101.3225806,2218.903226
29/02/1996,2120.724138,99.68965517,2220.413793
31/03/1996,2110.83871,101.6451613,2212.483871
30/04/1996,2096.133333,108,2204.133333
31/05/1996,2109.580645,106.7741935,2216.354839
30/06/1996,2132.6,113.5333333,2246.133333
31/07/1996,2108.16129,123.6451613,2231.806452
31/08/1996,2131.129032,119.2903226,2250.419355
30/09/1996,2137.533333,128.8,2266.333333
31/10/1996,2145.354839,125.9354839,2271.290323
30/11/1996,2108.533333,125.3,2233.833333
31/12/1996,2005.322581,124.6774194,2130
31/01/1997,2001.290323,122.483871,2123.774194
28/02/1997,2049.714286,124.4642857,2174.178571
31/03/1997,2093.096774,134.1935484,2227.290323
30/04/1997,2104.166667,132.8,2236.966667
31/05/1997,2109.967742,140.2580645,2250.225806
30/06/1997,2106,150.4666667,2256.466667
31/07/1997,2073.83871,148.9677419,2222.806452
31/08/1997,2065.322581,154.9677419,2220.290323
30/09/1997,2069.9,163.0666667,2232.966667
31/10/1997,2060.612903,164.6774194,2225.290323
30/11/1997,2108.333333,158.9666667,2267.3
31/12/1997,2091.225806,149.7096774,2240.935484
31/01/1998,2058.548387,146.7419355,2205.290323
28/02/1998,2078.642857,149.75,2228.392857
31/03/1998,2097.580645,153,2250.580645
30/04/1998,2113.833333,152.8,2266.633333
31/05/1998,2094.741935,157.6774194,2252.419355
30/06/1998,2166.233333,159.1333333,2325.366667
31/07/1998,2216.645161,156.8709677,2373.516129
31/08/1998,2258.806452,161.2258065,2420.032258
30/09/1998,2330,153.7,2483.7
31/10/1998,2348.83871,164.7419355,2513.580645
30/11/1998,2416.433333,190.2333333,2606.666667
31/12/1998,2418.451613,189.0322581,2607.483871
31/01/1999,2457.967742,196.8709677,2654.83871
28/02/1999,2555.392857,216.0714286,2771.464286
31/03/1999,2616.612903,223.6774194,2840.290323
30/04/1999,2659.5,219.4333333,2878.933333
31/05/1999,2753.290323,207.0322581,2960.322581
30/06/1999,2785.566667,217.2,3002.766667
31/07/1999,2774.870968,224.3548387,2999.225806
31/08/1999,2750.83871,222.1935484,2973.032258
30/09/1999,2740.3,221.0666667,2961.366667
31/10/1999,2695.129032,217.2580645,2912.387097
30/11/1999,2672.4,207.3666667,2879.766667
31/12/1999,2656.612903,208.3870968,2865
31/01/2000,2677.967742,222.0322581,2900
29/02/2000,2719.034483,230.5862069,2949.62069
31/03/2000,2742.870968,233.6129032,2976.483871
30/04/2000,2746.033333,238.2333333,2984.266667
31/05/2000,2781.193548,246.6451613,3027.83871
30/06/2000,2827,247.5666667,3074.566667
31/07/2000,2868.548387,245.9354839,3114.483871
31/08/2000,2883.419355,239.2903226,3122.709677
30/09/2000,2886.033333,245.7666667,3131.8
31/10/2000,2854.129032,251.0322581,3105.16129
30/11/2000,2844.3,247.5,3091.8
31/12/2000,2820,239.9354839,3059.935484
31/01/2001,2825.225806,233.5483871,3058.774194
28/02/2001,2859.821429,235.1071429,3094.928571
31/03/2001,2892.16129,241.3225806,3133.483871
30/04/2001,2915.066667,225.6666667,3140.733333
31/05/2001,2900.129032,217.1612903,3117.290323
30/06/2001,2924.433333,221.5,3145.933333
31/07/2001,2910.935484,222,3132.935484
31/08/2001,2898.451613,214.5483871,3113
30/09/2001,2889.6,209.4666667,3099.066667
31/10/2001,2817,212.7741935,3029.774194
30/11/2001,2750.733333,202.1,2952.833333
31/12/2001,2635.129032,188.2903226,2823.419355
31/01/2002,2598.290323,187.1290323,2785.419355
28/02/2002,2597.285714,197.3571429,2794.642857
31/03/2002,2611.483871,197.8387097,2809.322581
30/04/2002,2630.833333,201.6666667,2832.5
31/05/2002,2600.709677,199.2903226,2800
30/06/2002,2580.533333,188.5,2769.033333
31/07/2002,2563.419355,200.4516129,2763.870968
31/08/2002,2560.516129,201.8709677,2762.387097
30/09/2002,2600.3,201.0333333,2801.333333
31/10/2002,2588.096774,199.6129032,2787.709677
30/11/2002,2588.233333,204.5,2792.733333
31/12/2002,2596.612903,220.7096774,2817.322581
31/01/2003,2622.935484,219.483871,2842.419355
28/02/2003,2671.607143,218.6071429,2890.214286
