Month,Male_Population,WAPM_Trend,General_Purpose_Beds
1/01/2016,5299,,5838
1/02/2016,5370,,5838
1/03/2016,5470,,5838
1/04/2016,5520,,5918
1/05/2016,5616,,5918
1/06/2016,5696,,5881
1/07/2016,5703,,6098
1/08/2016,5695,,6143
1/09/2016,5664,,6175
1/10/2016,5673,,6175
1/11/2016,5749,,6175
1/12/2016,5689,,6175
1/01/2017,5820,,6175
1/02/2017,5996,,6231
1/03/2017,6092,,6261
1/04/2017,6100,,6332
1/05/2017,6057,,6325
1/06/2017,6059,,6343
1/07/2017,6051,,6357
1/08/2017,6075,,6357
1/09/2017,5989,,6357
1/10/2017,6000,,6365
1/11/2017,5972,,6365
1/12/2017,5945,,6365
1/01/2018,6047,,6365
1/02/2018,6118,,6365
1/03/2018,6169,,6288
1/04/2018,6172,,6288
1/05/2018,6153,,6288
1/06/2018,6126,,6299
1/07/2018,6159,,6230
1/08/2018,6167,,6375
1/09/2018,6206,,6423
1/10/2018,6133,,6464
1/11/2018,6121,,6464
1/12/2018,6137,,6464
1/01/2019,6167,,6464
1/02/2019,6172,,6533
1/03/2019,6207,,6533
1/04/2019,6224,,6533
1/05/2019,6202,6202,6533
1/06/2019,,6246.076923,6533
1/07/2019,,6290.153846,6533
1/08/2019,,6334.230769,6533
1/09/2019,,6378.307692,6693
1/10/2019,,6422.384615,6693
1/11/2019,,6466.461538,6693
1/12/2019,,6510.538462,6949
1/01/2020,,6554.615385,6949
1/02/2020,,6598.692308,6949
1/03/2020,,6642.769231,6949
1/04/2020,,6686.846154,7205
1/05/2020,,6730.923077,7205
1/06/2020,,6775,7205
1/07/2020,,6791.666667,7205
1/08/2020,,6808.333333,7205
1/09/2020,,6825,7205
1/10/2020,,6841.666667,7205
1/11/2020,,6858.333333,7205
1/12/2020,,6875,7205
1/01/2021,,6891.666667,7205
1/02/2021,,6908.333333,7205
1/03/2021,,6925,7205
1/04/2021,,6941.666667,7205
1/05/2021,,6958.333333,7205
1/06/2021,,6975,7205
1/07/2021,,6992.75,7205
1/08/2021,,7010.5,7205
1/09/2021,,7028.25,7205
1/10/2021,,7046,7205
1/11/2021,,7063.75,7205
1/12/2021,,7081.5,7205
1/01/2022,,7099.25,7205
1/02/2022,,7117,7205
1/03/2022,,7134.75,7205
1/04/2022,,7152.5,7205
1/05/2022,,7170.25,7205
1/06/2022,,7188,7205
1/07/2022,,7205.75,7205
1/08/2022,,7223.5,7205
1/09/2022,,7241.25,7205
1/10/2022,,7259,7205
1/11/2022,,7276.75,7205
1/12/2022,,7294.5,7205
1/01/2023,,7312.25,7205
1/02/2023,,7330,7205
1/03/2023,,7347.75,7205
1/04/2023,,7365.5,7205
1/05/2023,,7383.25,7205
1/06/2023,,7401,7205
1/07/2023,,7419.083333,7205
1/08/2023,,7437.166667,7205
1/09/2023,,7455.25,7205
1/10/2023,,7473.333333,7205
1/11/2023,,7491.416667,7205
1/12/2023,,7509.5,7205
1/01/2024,,7527.583333,7205
1/02/2024,,7545.666667,7205
1/03/2024,,7563.75,7205
1/04/2024,,7581.833333,7205
1/05/2024,,7599.916667,7205
1/06/2024,,7618,7205
1/07/2024,,7635.75,7205
1/08/2024,,7653.5,7205
1/09/2024,,7671.25,7205
1/10/2024,,7689,7205
1/11/2024,,7706.75,7205
1/12/2024,,7724.5,7205
1/01/2025,,7742.25,7205
1/02/2025,,7760,7205
1/03/2025,,7777.75,7205
1/04/2025,,7795.5,7205
1/05/2025,,7813.25,7205
1/06/2025,,7831,7205
1/07/2025,,7849.75,7205
1/08/2025,,7868.5,7205
1/09/2025,,7887.25,7205
1/10/2025,,7906,7205
1/11/2025,,7924.75,7205
1/12/2025,,7943.5,7205
1/01/2026,,7962.25,7205
1/02/2026,,7981,7205
1/03/2026,,7999.75,7205
1/04/2026,,8018.5,7205
1/05/2026,,8037.25,7205
1/06/2026,,8056,7205
1/07/2026,,8075,7205
1/08/2026,,8094,7205
1/09/2026,,8113,7205
1/10/2026,,8132,7205
1/11/2026,,8151,7205
1/12/2026,,8170,7205
1/01/2027,,8189,7205
