Date,DAP_Mean,muster_Mean,totGenPurBeds
1/01/1985,167,309,
1/02/1985,427,547,
1/03/1985,640,695,
1/04/1985,735,760,
1/05/1985,773,813,
1/06/1985,811,815,
1/07/1985,853,863,
1/08/1985,905,928,
1/09/1985,958,965,
1/10/1985,1001,996,
1/11/1985,1035,1069,
1/12/1985,1075,1073,
1/01/1986,1113,1142,
1/02/1986,1177,1217,
1/03/1986,1259,1274,
1/04/1986,1288,1324,
1/05/1986,1365,1348,
1/06/1986,1333,1307,
1/07/1986,1327,1332,
1/08/1986,1316,1314,
1/09/1986,1329,1291,
1/10/1986,1313,1349,
1/11/1986,1362,1381,
1/12/1986,1405,1379,
1/01/1987,1390,1430,
1/02/1987,1464,1496,
1/03/1987,1504,1531,
1/04/1987,1495,1463,
1/05/1987,1443,1431,
1/06/1987,1464,1468,
1/07/1987,1488,1489,
1/08/1987,1534,1554,
1/09/1987,1572,1562,
1/10/1987,1608,1611,
1/11/1987,1593,1577,
1/12/1987,1532,1492,
1/01/1988,1480,1453,
1/02/1988,1492,1498,
1/03/1988,1514,1502,
1/04/1988,1485,1506,
1/05/1988,1499,1506,
1/06/1988,1533,1539,
1/07/1988,1541,1518,
1/08/1988,1521,1495,
1/09/1988,1523,1530,
1/10/1988,1522,1497,
1/11/1988,1513,1502,
1/12/1988,1462,1433,
1/01/1989,1438,1440,
1/02/1989,1470,1487,
1/03/1989,1462,1436,
1/04/1989,1429,1385,
1/05/1989,1409,1460,
1/06/1989,1470,1501,
1/07/1989,1488,1487,
1/08/1989,1501,1506,
1/09/1989,1523,1526,
1/10/1989,1523,1531,
1/11/1989,1554,1582,
1/12/1989,1548,1527,
1/01/1990,1584,1581,
1/02/1990,1592,1587,
1/03/1990,1597,1616,
1/04/1990,1604,1618,
1/05/1990,1644,1693,
1/06/1990,1688,1683,
1/07/1990,1673,1683,
1/08/1990,1691,1727,
1/09/1990,1722,1699,
1/10/1990,1693,1699,
1/11/1990,1701,1678,
1/12/1990,1676,1664,
1/01/1991,1785,1889,
1/02/1991,1902,1903,
1/03/1991,1896,1852,
1/04/1991,1868,1862,
1/05/1991,1876,1832,
1/06/1991,1800,1786,
1/07/1991,1757,1726,
1/08/1991,1734,1742,
1/09/1991,1757,1789,
1/10/1991,1818,1847,
1/11/1991,1861,1855,
1/12/1991,1816,1793,
1/01/1992,1836,1890,
1/02/1992,1899,1890,
1/03/1992,1884,1888,
1/04/1992,1881,1871,
1/05/1992,1908,1918,
1/06/1992,1924,1911,
1/07/1992,1917,1933,
1/08/1992,1926,1893,
1/09/1992,1878,1831,
1/10/1992,1805,1795,
1/11/1992,1778,1732,
1/12/1992,1748,1752,
1/01/1993,1776,1798,
1/02/1993,1829,1850,
1/03/1993,1870,1882,
1/04/1993,1883,1888,
1/05/1993,1897,1927,
1/06/1993,1981,2015,
1/07/1993,2018,2043,
1/08/1993,2051,2041,
1/09/1993,2070,2087,
1/10/1993,2095,2109,
1/11/1993,2112,2108,
1/12/1993,2064,2022,
1/01/1994,2051,2046,
1/02/1994,2093,2126,
1/03/1994,2130,2115,
1/04/1994,2122,2111,
1/05/1994,2128,2140,
1/06/1994,2132,2134,
1/07/1994,2112,2076,
1/08/1994,2078,2076,
1/09/1994,2091,2094,
1/10/1994,2117,2120,
1/11/1994,2130,2106,
1/12/1994,2069,2043,
1/01/1995,2033,2025,
1/02/1995,2069,2105,
1/03/1995,2153,2191,
1/04/1995,2203,2193,
1/05/1995,2199,2205,
1/06/1995,2206,2199,
1/07/1995,2194,2186,
1/08/1995,2202,2235,
1/09/1995,2251,2273,
1/10/1995,2283,2253,
1/11/1995,2267,2283,
1/12/1995,2247,2193,
1/01/1996,2223,2247,
1/02/1996,2224,2192,
1/03/1996,2216,2195,
1/04/1996,2208,2212,
1/05/1996,2220,2221,
1/06/1996,2250,2248,
1/07/1996,2236,2228,
1/08/1996,2254,2262,
1/09/1996,2270,2251,
1/10/1996,2275,2260,
1/11/1996,2238,2209,
1/12/1996,2134,2087,
1/01/1997,2128,2162,
1/02/1997,2178,2195,
1/03/1997,2231,2243,
1/04/1997,2241,2230,
1/05/1997,2254,2269,
1/06/1997,2260,2239,
1/07/1997,2227,2221,
1/08/1997,2224,2252,
1/09/1997,2237,2220,
1/10/1997,2229,2240,
1/11/1997,2271,2294,
1/12/1997,2245,2210,
