Date,Unsentenced,Sentenced
31/01/1985,74,229
28/02/1985,102,439
31/03/1985,109,580
30/04/1985,150,604
31/05/1985,122,685
30/06/1985,112,698
31/07/1985,129,727
31/08/1985,152,771
30/09/1985,130,828
31/10/1985,132,859
30/11/1985,159,905
31/12/1985,117,952
31/01/1986,161,976
28/02/1986,162,1050
31/03/1986,167,1102
30/04/1986,165,1154
31/05/1986,182,1161
30/06/1986,153,1149
31/07/1986,139,1186
31/08/1986,138,1170
30/09/1986,144,1143
31/10/1986,147,1198
30/11/1986,155,1219
31/12/1986,151,1224
31/01/1987,180,1246
28/02/1987,184,1308
31/03/1987,213,1313
30/04/1987,198,1261
31/05/1987,186,1239
30/06/1987,182,1281
31/07/1987,163,1321
31/08/1987,163,1387
30/09/1987,163,1395
31/10/1987,189,1417
30/11/1987,167,1403
31/12/1987,145,1342
31/01/1988,148,1300
29/02/1988,163,1330
31/03/1988,162,1334
30/04/1988,165,1336
31/05/1988,153,1348
30/06/1988,162,1371
31/07/1988,140,1374
31/08/1988,135,1355
30/09/1988,152,1372
31/10/1988,140,1352
30/11/1988,153,1345
31/12/1988,134,1295
31/01/1989,145,1291
28/02/1989,150,1333
31/03/1989,182,1250
30/04/1989,156,1224
31/05/1989,167,1288
30/06/1989,166,1331
31/07/1989,149,1334
31/08/1989,160,1342
30/09/1989,175,1347
31/10/1989,167,1360
30/11/1989,141,1435
31/12/1989,131,1392
31/01/1990,162,1414
28/02/1990,166,1417
31/03/1990,171,1440
30/04/1990,166,1447
31/05/1990,178,1509
30/06/1990,162,1517
31/07/1990,175,1504
31/08/1990,172,1551
30/09/1990,196,1499
31/10/1990,204,1489
30/11/1990,165,1508
31/12/1990,169,1491
31/01/1991,213,1670
28/02/1991,191,1706
31/03/1991,231,1616
30/04/1991,209,1649
31/05/1991,199,1626
30/06/1991,189,1593
31/07/1991,175,1547
31/08/1991,183,1555
30/09/1991,179,1606
31/10/1991,193,1648
30/11/1991,179,1672
31/12/1991,170,1619
31/01/1992,228,1658
29/02/1992,203,1683
31/03/1992,211,1672
30/04/1992,202,1664
31/05/1992,219,1695
30/06/1992,206,1701
31/07/1992,201,1728
31/08/1992,202,1687
30/09/1992,188,1638
31/10/1992,189,1602
30/11/1992,191,1536
31/12/1992,187,1561
31/01/1993,238,1556
28/02/1993,264,1582
31/03/1993,219,1658
30/04/1993,198,1686
31/05/1993,206,1715
30/06/1993,213,1796
31/07/1993,215,1824
31/08/1993,201,1836
30/09/1993,208,1873
31/10/1993,206,1899
30/11/1993,168,1936
31/12/1993,166,1852
31/01/1994,220,1821
28/02/1994,240,1880
31/03/1994,211,1900
30/04/1994,209,1898
