"MEASURE","Measure","REGIONTYPE","Geography Level","ASGS_2016","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"ERP","Estimated Resident Population","STE","States and Territories","5","Western Australia","A","Annual","2001","2001",1906274,,
"ERP","Estimated Resident Population","STE","States and Territories","5","Western Australia","A","Annual","2002","2002",1928512,,
"ERP","Estimated Resident Population","STE","States and Territories","5","Western Australia","A","Annual","2003","2003",1952741,,
"ERP","Estimated Resident Population","STE","States and Territories","5","Western Australia","A","Annual","2004","2004",1979542,,
"ERP","Estimated Resident Population","STE","States and Territories","5","Western Australia","A","Annual","2005","2005",2011207,,
"ERP","Estimated Resident Population","STE","States and Territories","5","Western Australia","A","Annual","2006","2006",2050581,,
"ERP","Estimated Resident Population","STE","States and Territories","5","Western Australia","A","Annual","2007","2007",2106139,,
"ERP","Estimated Resident Population","STE","States and Territories","5","Western Australia","A","Annual","2008","2008",2171700,,
"ERP","Estimated Resident Population","STE","States and Territories","5","Western Australia","A","Annual","2009","2009",2240250,,
"ERP","Estimated Resident Population","STE","States and Territories","5","Western Australia","A","Annual","2010","2010",2290845,,
"ERP","Estimated Resident Population","STE","States and Territories","5","Western Australia","A","Annual","2011","2011",2353409,,
"ERP","Estimated Resident Population","STE","States and Territories","5","Western Australia","A","Annual","2012","2012",2425507,,
"ERP","Estimated Resident Population","STE","States and Territories","5","Western Australia","A","Annual","2013","2013",2486944,,
"ERP","Estimated Resident Population","STE","States and Territories","5","Western Australia","A","Annual","2014","2014",2517608,,
"ERP","Estimated Resident Population","STE","States and Territories","5","Western Australia","A","Annual","2015","2015",2540672,,
"ERP","Estimated Resident Population","STE","States and Territories","5","Western Australia","A","Annual","2016","2016",2555978,,
"ERP","Estimated Resident Population","STE","States and Territories","5","Western Australia","A","Annual","2017","2017",2574193,,
"ERP","Estimated Resident Population","STE","States and Territories","5","Western Australia","A","Annual","2018","2018",2595192,,
"ERP","Estimated Resident Population","GCCSA","Greater Capital City Statistical Areas","5GPER","Greater Perth","A","Annual","2001","2001",1455361,,
"ERP","Estimated Resident Population","GCCSA","Greater Capital City Statistical Areas","5GPER","Greater Perth","A","Annual","2002","2002",1474536,,
"ERP","Estimated Resident Population","GCCSA","Greater Capital City Statistical Areas","5GPER","Greater Perth","A","Annual","2003","2003",1496016,,
"ERP","Estimated Resident Population","GCCSA","Greater Capital City Statistical Areas","5GPER","Greater Perth","A","Annual","2004","2004",1520232,,
"ERP","Estimated Resident Population","GCCSA","Greater Capital City Statistical Areas","5GPER","Greater Perth","A","Annual","2005","2005",1544977,,
"ERP","Estimated Resident Population","GCCSA","Greater Capital City Statistical Areas","5GPER","Greater Perth","A","Annual","2006","2006",1576912,,
"ERP","Estimated Resident Population","GCCSA","Greater Capital City Statistical Areas","5GPER","Greater Perth","A","Annual","2007","2007",1628467,,
"ERP","Estimated Resident Population","GCCSA","Greater Capital City Statistical Areas","5GPER","Greater Perth","A","Annual","2008","2008",1682860,,
"ERP","Estimated Resident Population","GCCSA","Greater Capital City Statistical Areas","5GPER","Greater Perth","A","Annual","2009","2009",1739342,,
"ERP","Estimated Resident Population","GCCSA","Greater Capital City Statistical Areas","5GPER","Greater Perth","A","Annual","2010","2010",1781132,,
"ERP","Estimated Resident Population","GCCSA","Greater Capital City Statistical Areas","5GPER","Greater Perth","A","Annual","2011","2011",1833567,,
"ERP","Estimated Resident Population","GCCSA","Greater Capital City Statistical Areas","5GPER","Greater Perth","A","Annual","2012","2012",1892862,,
