Month,WA_ATSI_DAP,WA_ATSI_PROJECTIONS,WA_ATSI_TARGET
31/01/1985,71.74193548,,
28/02/1985,191.5714286,,
31/03/1985,289.3870968,,
30/04/1985,336.5666667,,
31/05/1985,337.3225806,,
30/06/1985,339.8666667,,
31/07/1985,340.3870968,,
31/08/1985,336.7096774,,
30/09/1985,339.4333333,,
31/10/1985,339.0645161,,
30/11/1985,345.6,,
31/12/1985,377.1290323,,
31/01/1986,407.2903226,,
28/02/1986,434.4642857,,
31/03/1986,481.2580645,,
30/04/1986,487.3333333,,
31/05/1986,507.8064516,,
30/06/1986,474.2666667,,
31/07/1986,473.483871,,
31/08/1986,458.1612903,,
30/09/1986,446.5333333,,
31/10/1986,433.2580645,,
30/11/1986,468.3666667,,
31/12/1986,501.7419355,,
31/01/1987,501.6129032,,
28/02/1987,523.1071429,,
31/03/1987,530.3548387,,
30/04/1987,515.0666667,,
31/05/1987,482.9354839,,
30/06/1987,474.2,,
31/07/1987,464.2580645,,
31/08/1987,462.5806452,,
30/09/1987,479.6,,
31/10/1987,510.0645161,,
30/11/1987,506.4333333,,
31/12/1987,495.1612903,,
31/01/1988,486,,
29/02/1988,489.4827586,,
31/03/1988,492.7741935,,
30/04/1988,485.1666667,,
31/05/1988,488.3870968,,
30/06/1988,506.4333333,,
31/07/1988,513,,
31/08/1988,518.516129,,
30/09/1988,506.7333333,,
31/10/1988,526.7096774,,
30/11/1988,525.3666667,,
31/12/1988,505.9677419,,
31/01/1989,498.8387097,,
28/02/1989,528.7142857,,
31/03/1989,528.9677419,,
30/04/1989,506.6333333,,
31/05/1989,501.3225806,,
30/06/1989,535.8,,
31/07/1989,535.8709677,,
31/08/1989,530.7741935,,
30/09/1989,517.9333333,,
31/10/1989,524.7741935,,
30/11/1989,533.5333333,,
31/12/1989,540.3548387,,
31/01/1990,579.9354839,,
28/02/1990,581.25,,
31/03/1990,589.4193548,,
30/04/1990,588.8333333,,
31/05/1990,607.9032258,,
30/06/1990,589.7,,
31/07/1990,597.2580645,,
31/08/1990,618.8709677,,
30/09/1990,627.9333333,,
31/10/1990,614.4193548,,
30/11/1990,609.8333333,,
31/12/1990,594.1290323,,
31/01/1991,593.1935484,,
28/02/1991,642.9642857,,
31/03/1991,669.9032258,,
30/04/1991,673.6666667,,
31/05/1991,661.2580645,,
30/06/1991,633.9333333,,
31/07/1991,606.1290323,,
31/08/1991,587.516129,,
30/09/1991,605.9,,
31/10/1991,622.5483871,,
30/11/1991,616.8666667,,
31/12/1991,585.5483871,,
31/01/1992,605.1290323,,
29/02/1992,626.2413793,,
31/03/1992,607.6129032,,
30/04/1992,593.9333333,,
31/05/1992,596.7741935,,
30/06/1992,598.9666667,,
31/07/1992,601.7419355,,
31/08/1992,609.8064516,,
30/09/1992,596.9666667,,
31/10/1992,562,,
30/11/1992,551.0666667,,
31/12/1992,561.6774194,,
31/01/1993,584.5483871,,
28/02/1993,603.2142857,,
31/03/1993,610.1612903,,
30/04/1993,611.8,,
31/05/1993,608.7419355,,
30/06/1993,634.8333333,,
31/07/1993,630.7096774,,
31/08/1993,645.6451613,,
30/09/1993,647.8,,
31/10/1993,650.0645161,,
30/11/1993,672.6666667,,
31/12/1993,649.5483871,,
31/01/1994,654.0645161,,
28/02/1994,667.9642857,,
31/03/1994,700.6451613,,
30/04/1994,689.3666667,,
31/05/1994,684.6451613,,
30/06/1994,692.2333333,,
31/07/1994,677.6129032,,
31/08/1994,669.483871,,
30/09/1994,688.9666667,,
31/10/1994,707.0322581,,
30/11/1994,725.3,,
31/12/1994,704.8709677,,
31/01/1995,676.516129,,
28/02/1995,704,,
31/03/1995,750.9032258,,
30/04/1995,771.9333333,,
31/05/1995,758.516129,,
30/06/1995,734.4333333,,
31/07/1995,727.1612903,,
31/08/1995,745.0967742,,
30/09/1995,755.3666667,,
31/10/1995,771.8709677,,
30/11/1995,759.3333333,,
31/12/1995,751.4193548,,
31/01/1996,743.5806452,,
29/02/1996,755.9310345,,
31/03/1996,762.5483871,,
30/04/1996,753.7,,
31/05/1996,755.0967742,,
30/06/1996,750,,
31/07/1996,747.8709677,,
31/08/1996,766.3225806,,
30/09/1996,784.8,,
31/10/1996,783.9032258,,
30/11/1996,767.1666667,,
31/12/1996,701.6129032,,
31/01/1997,692.2903226,,
28/02/1997,718.8214286,,
31/03/1997,739.2580645,,
30/04/1997,756.5666667,,
31/05/1997,769,,
30/06/1997,766.4333333,,
31/07/1997,749.0645161,,
31/08/1997,742.0645161,,
30/09/1997,741.2,,
31/10/1997,744.1935484,,
30/11/1997,772.4666667,,
31/12/1997,767.0645161,,
31/01/1998,769.9032258,,
28/02/1998,769.2857143,,
31/03/1998,762.7419355,,
30/04/1998,758.5666667,,
31/05/1998,748.2258065,,
30/06/1998,768.4,,
31/07/1998,779.3870968,,
31/08/1998,813.4516129,,
30/09/1998,824.3,,
31/10/1998,826.483871,,
30/11/1998,875.5333333,,
31/12/1998,890.483871,,
31/01/1999,929.8064516,,
28/02/1999,970.4285714,,
31/03/1999,996.0645161,,
30/04/1999,1020.066667,,
31/05/1999,1036.129032,,
30/06/1999,1030.633333,,
31/07/1999,1024.16129,,
31/08/1999,1006.935484,,
30/09/1999,994.4,,
31/10/1999,978.483871,,
30/11/1999,964.7333333,,
31/12/1999,968.4516129,,
31/01/2000,973.5483871,,
29/02/2000,985.1034483,,
31/03/2000,1004.516129,,
30/04/2000,1004.2,,
31/05/2000,1007.16129,,
30/06/2000,1017.366667,,
31/07/2000,1000.806452,,
31/08/2000,992.1935484,,
30/09/2000,1007.433333,,
31/10/2000,1021,,
30/11/2000,1030.333333,,
31/12/2000,1026.516129,,
31/01/2001,1044.290323,,
28/02/2001,1062.392857,,
31/03/2001,1066.064516,,
30/04/2001,1085.533333,,
31/05/2001,1061.225806,,
30/06/2001,1075.8,,
31/07/2001,1068.709677,,
31/08/2001,1044.096774,,
30/09/2001,1024.033333,,
31/10/2001,994.8709677,,
30/11/2001,965.7666667,,
31/12/2001,894.3225806,,
31/01/2002,883.6129032,,
28/02/2002,885.0714286,,
31/03/2002,892.7096774,,
30/04/2002,902.5666667,,
31/05/2002,888.5483871,,
30/06/2002,868.6666667,,
31/07/2002,873.483871,,
31/08/2002,878.5806452,,
30/09/2002,907.1666667,,
31/10/2002,911.6451613,,
30/11/2002,928.4,,
31/12/2002,972.1612903,,
31/01/2003,998.6774194,,
28/02/2003,1025.964286,,
31/03/2003,1040.354839,,
30/04/2003,1035.866667,,
31/05/2003,1002.387097,,
30/06/2003,1008.466667,,
31/07/2003,1031.387097,,
31/08/2003,1021.419355,,
30/09/2003,1029.666667,,
31/10/2003,1059.516129,,
30/11/2003,1079.066667,,
31/12/2003,1068.064516,,
31/01/2004,1104.516129,,
29/02/2004,1126.103448,,
31/03/2004,1147.129032,,
30/04/2004,1182.333333,,
31/05/2004,1204.225806,,
30/06/2004,1222.266667,,
31/07/2004,1229.903226,,
31/08/2004,1236.645161,,
30/09/2004,1270.5,,
31/10/2004,1281.258065,,
30/11/2004,1310.733333,,
31/12/2004,1329.548387,,
31/01/2005,1381.064516,,
28/02/2005,1449.178571,,
31/03/2005,1475.354839,,
30/04/2005,1462.833333,,
31/05/2005,1469.612903,,
30/06/2005,1456.866667,,
31/07/2005,1409.290323,,
31/08/2005,1368.516129,,
30/09/2005,1353.833333,,
31/10/2005,1353.16129,,
30/11/2005,1370.266667,,
31/12/2005,1351.709677,,
31/01/2006,1352.677419,,
28/02/2006,1378.785714,,
31/03/2006,1409,,
30/04/2006,1417.833333,,
31/05/2006,1415.967742,,
30/06/2006,1409.166667,,
31/07/2006,1412.677419,,
31/08/2006,1423.483871,,
30/09/2006,1452.1,,
31/10/2006,1456.806452,,
30/11/2006,1490.966667,,
31/12/2006,1498.935484,,
31/01/2007,1507.193548,,
28/02/2007,1520.714286,,
31/03/2007,1560.548387,,
30/04/2007,1586.833333,,
31/05/2007,1619.129032,,
30/06/2007,1642.533333,,
31/07/2007,1665.806452,,
31/08/2007,1663.451613,,
30/09/2007,1684.433333,,
31/10/2007,1661.419355,,
30/11/2007,1653.233333,,
31/12/2007,1591.483871,,
31/01/2008,1570.322581,,
29/02/2008,1565.068966,,
31/03/2008,1577.225806,,
30/04/2008,1543.433333,,
31/05/2008,1549.903226,,
30/06/2008,1558.133333,,
31/07/2008,1597.677419,,
31/08/2008,1613.612903,,
30/09/2008,1649.9,,
31/10/2008,1672.870968,,
30/11/2008,1678.4,,
31/12/2008,1671.354839,,
31/01/2009,1677.709677,,
28/02/2009,1709.071429,,
31/03/2009,1711.129032,,
30/04/2009,1709.4,,
31/05/2009,1740.677419,,
30/06/2009,1797.233333,,
31/07/2009,1831.225806,,
31/08/2009,1867.612903,,
30/09/2009,1906.733333,,
31/10/2009,1951.290323,,
30/11/2009,1992.233333,,
31/12/2009,1970.258065,,
31/01/2010,1963.741935,,
28/02/2010,1978.785714,,
31/03/2010,1961.612903,,
30/04/2010,1953,,
31/05/2010,1922.870968,,
30/06/2010,1910.633333,,
31/07/2010,1868.741935,,
31/08/2010,1849.193548,,
30/09/2010,1797.633333,,
31/10/2010,1758.354839,,
30/11/2010,1786.066667,,
31/12/2010,1749.548387,,
31/01/2011,1775.064516,,
28/02/2011,1811.857143,,
31/03/2011,1822.709677,,
30/04/2011,1794.433333,,
31/05/2011,1793.387097,,
30/06/2011,1796.666667,,
31/07/2011,1766.451613,,
31/08/2011,1758.193548,,
30/09/2011,1794.366667,,
31/10/2011,1821.741935,,
30/11/2011,1847.333333,,
31/12/2011,1865.516129,,
31/01/2012,1880.322581,,
29/02/2012,1942.517241,,
31/03/2012,1968.483871,,
30/04/2012,1986.7,,
31/05/2012,1977.741935,,
30/06/2012,1989.466667,,
31/07/2012,1969.193548,,
31/08/2012,1950.322581,,
30/09/2012,1962.833333,,
31/10/2012,1980.903226,,
30/11/2012,2008.366667,,
31/12/2012,1986.677419,,
31/01/2013,2015,,
28/02/2013,2014.5,,
31/03/2013,2015.935484,,
30/04/2013,2024.8,,
31/05/2013,2046.483871,,
30/06/2013,2010.966667,,
31/07/2013,1987.322581,,
31/08/2013,1994.225806,,
30/09/2013,2003.833333,,
31/10/2013,2008.935484,,
30/11/2013,2007.3,,
31/12/2013,1981.709677,,
31/01/2014,2013.935484,,
28/02/2014,2024.857143,,
31/03/2014,2042.387097,,
30/04/2014,2066.933333,,
31/05/2014,2094.967742,,
30/06/2014,2110.866667,,
31/07/2014,2078.580645,,
31/08/2014,2101.774194,,
30/09/2014,2115.566667,,
31/10/2014,2127.419355,,
30/11/2014,2144.866667,,
31/12/2014,2134.645161,,
31/01/2015,2161.806452,,
28/02/2015,2159.321429,,
31/03/2015,2147.516129,,
30/04/2015,2149.466667,,
31/05/2015,2124.645161,,
30/06/2015,2140.533333,,
31/07/2015,2112.354839,,
31/08/2015,2102.483871,,
30/09/2015,2124.566667,,
31/10/2015,2156.580645,,
30/11/2015,2173.533333,,
31/12/2015,2162.580645,,
31/01/2016,2216.903226,,
29/02/2016,2244.827586,,
31/03/2016,2324.774194,,
30/04/2016,2361.133333,,
31/05/2016,2370.096774,,
30/06/2016,2407.6,,
31/07/2016,2418.290323,,
31/08/2016,2409.935484,,
30/09/2016,2401.333333,,
31/10/2016,2382.387097,,
30/11/2016,2408.866667,,
31/12/2016,2402.709677,,
31/01/2017,2436.612903,,
28/02/2017,2499.75,,
31/03/2017,2548.290323,,
30/04/2017,2553.1,,
31/05/2017,2553.774194,,
30/06/2017,2553.633333,,
31/07/2017,2505.193548,,
31/08/2017,2497.258065,,
30/09/2017,2501.033333,,
31/10/2017,2507.483871,,
30/11/2017,2542.4,,
31/12/2017,2528,,
31/01/2018,2594.580645,,
28/02/2018,2644.392857,,
31/03/2018,2680.709677,,
30/04/2018,2718.766667,,
31/05/2018,2716.483871,,
30/06/2018,2710.766667,,
31/07/2018,2714.16129,,
31/08/2018,2716.032258,,
30/09/2018,2701.333333,,
31/10/2018,2698.354839,,
30/11/2018,2672.866667,,
31/12/2018,2655.741935,,
31/01/2019,2695.333333,,
28/02/2019,2695.892857,,
31/03/2019,2701.096774,,
30/04/2019,2694.233333,,
31/05/2019,2687.451613,2687.451613,2687.451613
30/06/2019,,2750.316499,2681.770195
31/07/2019,,2765.153348,2676.088776
31/08/2019,,2776.870344,2670.407358
30/09/2019,,2798.063796,2664.72594
31/10/2019,,2812.176552,2659.044521
