WAPOL_Hierarchy_Lvl2,WAPOL_Hierarchy_Lvl3
Homicide,Offences Against the Person
Recent Sexual Offences,Offences Against the Person
Historical Sexual Offences,Offences Against the Person
Assault (Family),Offences Against the Person
Assault (Non-Family),Offences Against the Person
Threatening Behaviour (Family),Offences Against the Person
Threatening Behaviour (Non-Family),Offences Against the Person
Deprivation of Liberty,Offences Against the Person
Robbery,Offences Against the Person
Burglary,Offences Against Property
Stealing of Motor Vehicle,Offences Against Property
Stealing,Offences Against Property
Property Damage,Offences Against Property
Arson,Offences Against Property
Drug Offences,Detected Offences
Receiving and Possession of Stolen Property,Detected Offences
Regulated Weapons Offences,Detected Offences
Graffiti,Miscellaneous Offences
Fraud & Related Offences,Miscellaneous Offences
Breach of Violence Restraint Order,Miscellaneous Offences
