Year,NSW ,Vic,Qld,WA,SA,Tas
2008-09 ,1941.874809,988.8055258,1466.474265,3404.818293,2079.395085,517.7467369
2009-10,1994.216931,1032.7725,1550.662955,3804.239749,2127.259036,491.6201117
2010-11,1889.083338,1050.042129,1518.076804,3451.62102,2170.238041,498.663005
2011-12,1802.298412,1130.012431,1474.421647,3496.532074,2189.651344,517.8084109
2012-13,1792.449052,1286.426906,1529.613448,3607.850977,2132.34342,494.8202316
2013-14,1914.548405,1492.332968,1743.971443,3556.573684,2298.51248,467.8543255
2014-15,1962.02719,1631.098129,1830.810615,3634.983656,2473.368434,471.1275228
2015-16,2209.375439,1588.22768,1930.376531,3745.369277,2624.059243,552.0356314
2016-17,2259.42446,1751.706333,1998.541309,4027.302937,2736.454745,662.5845366
2017-18,2311.69723,1893.587162,2052.764969,4128.02556,2649.813447,697.174338
