Year,NSW ,Vic,Qld,WA,SA,Tas
2008-09 ,0.799971898,0.657196723,0.629414569,0.597755464,0.736609806,0.865105008
2009-10,0.812546739,0.656037152,0.660762732,0.599752405,0.711064377,0.884642604
2010-11,0.810848444,0.663489854,0.627042878,0.583649984,0.731410097,0.878862794
2011-12,0.796591462,0.586827354,0.72600183,0.556067934,0.718467609,0.901766004
2012-13,0.777094299,0.632237872,0.757039881,0.613455092,0.702133922,0.854620976
2013-14,0.740451822,0.664240401,0.772683281,0.599621549,0.700897148,0.871371371
2014-15,0.757739136,0.665350642,0.755504056,0.612299778,0.674750147,0.876083631
2015-16,0.7404062,0.66177921,0.777424878,0.609050844,0.669555796,0.850228311
2016-17,0.73535273,0.62883061,0.769555869,0.607653112,0.71957026,0.864481409
2017-18,0.761068757,0.592304032,0.780135777,0.615711663,0.713008329,0.869187532
