monthYear,totalSelectedOffencesPerMonth,sexualOffences,totalSelectedOffencesAgainstThePerson,totalSelectedOffencesAgainstProperty
Jan-07,21670,347,2884,15499
Feb-07,19454,319,2745,13328
Mar-07,21608,292,2875,14746
Apr-07,19122,456,2604,13025
May-07,20620,343,2558,13654
Jun-07,19230,383,2415,12876
Jul-07,19401,386,2418,13180
Aug-07,20545,321,2560,13663
Sep-07,20200,278,2627,13478
Oct-07,21457,394,2692,14917
Nov-07,20946,343,2960,14389
Dec-07,21252,292,2746,14598
Jan-08,22584,314,2931,15643
Feb-08,20743,335,2772,14582
Mar-08,21213,402,2770,14959
Apr-08,20031,291,2315,14356
May-08,22233,247,2494,15127
Jun-08,20959,388,2445,14780
Jul-08,20361,283,2236,13819
Aug-08,20082,271,2537,13646
Sep-08,20676,409,2725,13990
Oct-08,21314,342,2743,14609
Nov-08,20179,400,2808,13643
Dec-08,19290,238,2639,12740
Jan-09,21555,291,3016,14537
Feb-09,20085,366,2820,13467
Mar-09,21236,437,3078,14269
Apr-09,19469,278,2416,13206
May-09,19657,390,2729,13130
Jun-09,19081,278,2319,13356
Jul-09,18425,290,2425,11991
Aug-09,17542,329,2598,11260
Sep-09,17775,371,2524,11191
Oct-09,19980,371,2823,12588
Nov-09,17735,282,2787,11668
Dec-09,17738,233,2823,11965
Jan-10,19005,778,3306,12677
Feb-10,17027,424,2683,10986
Mar-10,18279,457,2926,12298
Apr-10,16318,315,2328,10936
May-10,17423,304,2342,11169
Jun-10,16660,373,2328,10663
Jul-10,16131,308,2289,10563
Aug-10,16625,394,2510,10862
Sep-10,17449,287,2375,11712
Oct-10,18249,254,2659,12726
Nov-10,17935,321,2764,12574
Dec-10,17968,182,2801,12194
Jan-11,19315,327,2909,13702
Feb-11,17813,350,2811,12332
Mar-11,19166,315,2878,13315
Apr-11,18537,307,2593,12591
May-11,19194,256,2437,13389
Jun-11,17678,292,2411,12637
Jul-11,17165,267,2330,12351
Aug-11,18501,290,2521,12678
Sep-11,18149,332,2457,12834
Oct-11,19638,407,2736,14062
Nov-11,18111,325,2613,12884
Dec-11,18816,264,2808,13194
Jan-12,20226,242,3061,14215
Feb-12,18961,281,2759,13473
Mar-12,19586,414,2971,13394
Apr-12,18660,294,2475,13029
May-12,23314,387,2605,13097
Jun-12,20460,333,2495,11667
Jul-12,17696,246,2388,11568
Aug-12,17878,337,2844,12005
Sep-12,19216,324,2694,13009
Oct-12,24519,380,2906,14667
Nov-12,22695,373,2951,13815
Dec-12,22041,317,3317,14626
Jan-13,21260,338,3282,14713
Feb-13,20639,440,3102,13404
Mar-13,23237,355,3198,13626
Apr-13,21527,333,2879,12572
May-13,19992,304,2651,12804
Jun-13,19646,284,2738,12128
Jul-13,18915,345,2701,11912
Aug-13,19246,480,3048,11737
Sep-13,19195,417,3032,11636
Oct-13,20468,357,2842,13365
Nov-13,21420,319,3184,13371
Dec-13,21825,352,3248,13671
Jan-14,25322,398,3374,14945
Feb-14,19856,381,3055,12468
Mar-14,21552,404,3300,13831
Apr-14,19062,274,2721,12025
May-14,20613,492,2914,13138
Jun-14,19773,407,2766,12529
Jul-14,19608,376,2688,12550
Aug-14,19731,418,3044,12345
Sep-14,20140,337,2864,12775
Oct-14,21317,449,3158,13538
Nov-14,20761,524,3223,13114
Dec-14,21953,364,3363,13612
Jan-15,23003,428,3517,15029
Feb-15,21341,407,3336,13721
Mar-15,22842,647,3708,14402
Apr-15,21482,496,3235,13820
May-15,22961,409,3330,14172
Jun-15,24244,403,3275,15076
Jul-15,23201,467,3301,14665
Aug-15,23975,472,3625,14368
Sep-15,23505,396,3530,13850
Oct-15,25092,394,3688,15411
Nov-15,25238,439,3953,15376
Dec-15,25565,440,4072,15377
Jan-16,25459,367,4143,16081
Feb-16,24481,677,4292,14662
Mar-16,25251,438,4270,14695
Apr-16,23566,777,4011,13879
May-16,24197,374,3688,14679
Jun-16,23335,475,3637,13862
Jul-16,21591,314,3444,12775
Aug-16,22617,490,3659,13472
Sep-16,22412,363,3485,13590
Oct-16,23993,439,3888,14540
Nov-16,24595,514,4350,14604
Dec-16,23405,368,4353,13899
Jan-17,24996,473,4123,15689
Feb-17,22042,666,3921,13297
Mar-17,23587,512,3927,13904
Apr-17,20527,413,3743,12331
May-17,22025,536,3659,13453
Jun-17,21479,397,3303,12906
Jul-17,21523,526,3306,12112
Aug-17,22119,537,3645,12212
Sep-17,21450,502,3680,12085
Oct-17,23361,430,3723,13288
Nov-17,22872,521,4024,12659
Dec-17,22646,408,4072,13017
Jan-18,24558,582,4158,14071
Feb-18,23203,594,3789,13031
Mar-18,24651,477,4031,13409
Apr-18,22204,553,3601,12421
May-18,23254,527,3479,12688
Jun-18,22827,530,3451,12841
Jul-18,20916,397,3140,12120
Aug-18,22183,368,3404,12438
Sep-18,21692,392,3516,12054
Oct-18,24234,460,3722,14072
Nov-18,23766,494,3813,13306
Dec-18,22943,340,4037,12893
